amount,check,category
6162,7,Fraud
6883,4,Not Fraud
4813,24,Product
3113,12,Fraud
6228,10,Not Fraud
2241,27,Product
4287,23,Fraud
3874,9,Not Fraud
2352,14,Product
3976,18,Fraud
4705,2,Not Fraud
4476,23,Product
2297,24,Fraud
2412,22,Not Fraud
4021,25,Product
2704,8,Fraud
566,8,Not Fraud
931,12,Product
3908,26,Fraud
2933,18,Not Fraud
5620,28,Product
799,10,Fraud
4681,22,Not Fraud
3381,8,Product
3611,25,Fraud
1966,20,Not Fraud
2164,29,Product
1318,22,Fraud
5649,18,Not Fraud
2806,28,Product
1474,2,Fraud
2241,23,Not Fraud
2227,22,Product
3753,29,Fraud
4985,16,Not Fraud
4601,9,Product
4714,10,Fraud
5931,12,Not Fraud
4473,20,Product
3462,8,Fraud
1137,14,Not Fraud
5674,8,Product
3260,15,Fraud
1205,30,Not Fraud
1371,13,Product
5472,27,Fraud
266,23,Not Fraud
4861,26,Product
3725,26,Fraud
5859,12,Not Fraud
4503,17,Product
6466,3,Fraud
5356,12,Not Fraud
4686,1,Product
1418,14,Fraud
3956,21,Not Fraud
1038,3,Product
2177,6,Fraud
4884,28,Not Fraud
4932,2,Product
6625,19,Fraud
3115,14,Not Fraud
708,8,Product
1392,13,Fraud
5955,27,Not Fraud
6570,19,Product
6602,6,Fraud
3275,20,Not Fraud
3923,25,Product
660,23,Fraud
1023,5,Not Fraud
6889,17,Product
2345,22,Fraud
608,15,Not Fraud
6853,12,Product
742,30,Fraud
2176,29,Not Fraud
1475,16,Product
6702,14,Fraud
1507,27,Not Fraud
6430,19,Product
628,7,Fraud
2800,15,Not Fraud
6848,21,Product
4841,25,Fraud
5282,14,Not Fraud
957,3,Product
1761,21,Fraud
1235,23,Not Fraud
2464,2,Product
5998,5,Fraud
429,7,Not Fraud
2469,7,Product
2368,26,Fraud
4718,14,Not Fraud
5656,26,Product
5350,3,Fraud
2968,16,Not Fraud
5180,23,Product
6790,21,Fraud
6739,1,Not Fraud
6969,3,Product
3288,28,Fraud
5501,28,Not Fraud
1194,13,Product
6843,21,Fraud
5609,19,Not Fraud
1448,25,Product
3659,30,Fraud
6904,19,Not Fraud
221,22,Product
4002,10,Fraud
4640,23,Not Fraud
6221,20,Product
5982,23,Fraud
5702,1,Not Fraud
5758,13,Product
4560,15,Fraud
3218,12,Not Fraud
5729,16,Product
877,15,Fraud
4774,18,Not Fraud
5157,14,Product
3477,20,Fraud
709,21,Not Fraud
3952,27,Product
6134,12,Fraud
5424,8,Not Fraud
4529,7,Product
3048,29,Fraud
4956,19,Not Fraud
4927,21,Product
2230,14,Fraud
6809,12,Not Fraud
2067,27,Product
3199,23,Fraud
1423,13,Not Fraud
4029,23,Product
4210,12,Fraud
4060,9,Not Fraud
3448,6,Product
4489,5,Fraud
2453,8,Not Fraud
2643,20,Product
1777,10,Fraud
5640,10,Not Fraud
246,9,Product
3993,25,Fraud
2625,21,Not Fraud
455,23,Product
2176,21,Fraud
5228,16,Not Fraud
3989,2,Product
3684,14,Fraud
1177,1,Not Fraud
1379,10,Product
5236,6,Fraud
845,7,Not Fraud
5055,3,Product
4334,7,Fraud
3643,14,Not Fraud
4886,24,Product
4315,15,Fraud
6064,30,Not Fraud
6761,17,Product
846,20,Fraud
5674,7,Not Fraud
5453,15,Product
5635,9,Fraud
2347,1,Not Fraud
1899,9,Product
1123,27,Fraud
2665,8,Not Fraud
210,15,Product
3588,2,Fraud
3929,17,Not Fraud
3758,11,Product
4487,17,Fraud
6508,6,Not Fraud
4988,7,Product
1592,8,Fraud
3417,14,Not Fraud
6769,19,Product
1383,18,Fraud
1156,26,Not Fraud
2857,16,Product
1153,26,Fraud
2980,29,Not Fraud
6268,27,Product
2086,26,Fraud
2581,14,Not Fraud
1685,11,Product
4829,11,Fraud
3070,7,Not Fraud
1833,27,Product
1463,24,Fraud
5943,15,Not Fraud
6524,26,Product
5289,28,Fraud
2246,6,Not Fraud
2180,25,Product
6298,19,Fraud
3801,2,Not Fraud
6085,27,Product
2424,29,Fraud
5599,20,Not Fraud
2058,17,Product
970,19,Fraud
6634,5,Not Fraud
835,3,Product
600,10,Fraud
1403,22,Not Fraud
6936,11,Product
319,5,Fraud
1846,20,Not Fraud
3157,25,Product
553,7,Fraud
6672,9,Not Fraud
4467,30,Product
6265,24,Fraud
3885,19,Not Fraud
3953,15,Product
1065,8,Fraud
4603,28,Not Fraud
5612,4,Product
4135,5,Fraud
840,24,Not Fraud
5335,17,Product
225,13,Fraud
3825,18,Not Fraud
4367,8,Product
6814,20,Fraud
4448,1,Not Fraud
1145,9,Product
6326,9,Fraud
3860,19,Not Fraud
2065,28,Product
5107,10,Fraud
4154,20,Not Fraud
4135,18,Product
970,26,Fraud
6878,27,Not Fraud
464,30,Product
494,22,Fraud
1051,7,Not Fraud
2816,26,Product
5850,26,Fraud
5608,1,Not Fraud
1710,30,Product
6424,29,Fraud
2820,19,Not Fraud
6471,19,Product
5379,6,Fraud
4231,5,Not Fraud
3617,1,Product
3894,16,Fraud
4039,2,Not Fraud
1185,24,Product
338,21,Fraud
3764,19,Not Fraud
5521,20,Product
2717,10,Fraud
3419,4,Not Fraud
308,16,Product
3607,15,Fraud
3086,28,Not Fraud
1690,8,Product
3587,7,Fraud
2983,1,Not Fraud
3228,25,Product
4613,1,Fraud
401,18,Not Fraud
1469,11,Product
2226,14,Fraud
4817,11,Not Fraud
2173,10,Product
714,29,Fraud
6846,10,Not Fraud
2681,6,Product
861,9,Fraud
6395,14,Not Fraud
5673,27,Product
4932,25,Fraud
5088,13,Not Fraud
3361,1,Product
1648,24,Fraud
5857,7,Not Fraud
2493,8,Product
1892,19,Fraud
529,27,Not Fraud
5598,19,Product
1040,13,Fraud
5875,30,Not Fraud
6990,28,Product
2373,6,Fraud
1562,16,Not Fraud
4720,1,Product
1116,1,Fraud
917,6,Not Fraud
6647,20,Product
3846,28,Fraud
5787,9,Not Fraud
6116,22,Product
5928,3,Fraud
3839,2,Not Fraud
6267,1,Product
4382,4,Fraud
830,7,Not Fraud
557,23,Product
699,5,Fraud
2378,3,Not Fraud
5312,6,Product
6465,19,Fraud
2471,6,Not Fraud
5902,6,Product
3815,14,Fraud
5786,2,Not Fraud
2354,11,Product
231,8,Fraud
6279,14,Not Fraud
2603,11,Product
5018,30,Fraud
483,29,Not Fraud
827,22,Product
3193,9,Fraud
685,21,Not Fraud
4827,8,Product
659,22,Fraud
6494,19,Not Fraud
484,5,Product
2805,22,Fraud
1653,13,Not Fraud
1994,11,Product
4916,5,Fraud
6982,6,Not Fraud
6431,6,Product
6018,14,Fraud
6839,25,Not Fraud
1917,30,Product
3672,30,Fraud
5415,21,Not Fraud
5642,3,Product
640,27,Fraud
2003,1,Not Fraud
2354,4,Product
6380,7,Fraud
2846,28,Not Fraud
2191,25,Product
2976,24,Fraud
2456,12,Not Fraud
3621,29,Product
5859,7,Fraud
212,19,Not Fraud
1812,1,Product
2408,14,Fraud
3021,10,Not Fraud
5359,3,Product
4297,24,Fraud
3275,26,Not Fraud
348,17,Product
2238,27,Fraud
5074,29,Not Fraud
6253,29,Product
4096,15,Fraud
6819,14,Not Fraud
4780,12,Product
1117,18,Fraud
658,19,Not Fraud
5450,19,Product
324,4,Fraud
3132,3,Not Fraud
1109,17,Product
2758,4,Fraud
1090,7,Not Fraud
4110,12,Product
2615,21,Fraud
5062,6,Not Fraud
6316,18,Product
6335,19,Fraud
3570,20,Not Fraud
1789,18,Product
4678,5,Fraud
531,13,Not Fraud
3107,20,Product
5839,10,Fraud
1378,8,Not Fraud
5695,25,Product
4886,10,Fraud
1536,1,Not Fraud
6398,14,Product
6085,12,Fraud
6300,2,Not Fraud
3534,28,Product
1696,11,Fraud
6564,14,Not Fraud
1106,14,Product
4344,6,Fraud
6365,22,Not Fraud
5094,30,Product
378,17,Fraud
4753,20,Not Fraud
1951,10,Product
1465,1,Fraud
2145,3,Not Fraud
4663,5,Product
2695,15,Fraud
3946,17,Not Fraud
717,10,Product
3442,10,Fraud
1932,6,Not Fraud
2380,17,Product
993,29,Fraud
3639,5,Not Fraud
6181,19,Product
4053,8,Fraud
2588,22,Not Fraud
1170,27,Product
4444,8,Fraud
5988,16,Not Fraud
3034,1,Product
4142,22,Fraud
2722,6,Not Fraud
6885,3,Product
992,25,Fraud
3640,10,Not Fraud
1513,23,Product
3611,28,Fraud
4466,10,Not Fraud
3743,23,Product
5123,18,Fraud
4069,1,Not Fraud
720,8,Product
3463,11,Fraud
5396,18,Not Fraud
2205,10,Product
1781,30,Fraud
6416,24,Not Fraud
3691,27,Product
5481,13,Fraud
3425,9,Not Fraud
6063,3,Product
5116,26,Fraud
2644,6,Not Fraud
4689,27,Product
5902,11,Fraud
5667,13,Not Fraud
6563,27,Product
5503,3,Fraud
1775,21,Not Fraud
6709,3,Product
907,8,Fraud
6668,21,Not Fraud
4783,12,Product
1812,16,Fraud
4023,20,Not Fraud
761,11,Product
5735,5,Fraud
2341,15,Not Fraud
5435,10,Product
6762,22,Fraud
3610,4,Not Fraud
6431,26,Product
3390,3,Fraud
4962,4,Not Fraud
3295,10,Product
5373,7,Fraud
2886,16,Not Fraud
4078,2,Product
1396,23,Fraud
5230,7,Not Fraud
3181,12,Product
5754,21,Fraud
3980,10,Not Fraud
2674,29,Not Fraud
5168,5,Fraud
2347,13,Not Fraud
4631,26,Fraud
4734,24,Not Fraud
2917,6,Fraud
3605,4,Not Fraud
3453,25,Fraud
4266,27,Not Fraud
4369,26,Fraud
3355,27,Not Fraud
6109,19,Fraud
200,6,Not Fraud
4862,16,Fraud
1438,2,Not Fraud
6843,16,Fraud
3759,2,Not Fraud
4775,27,Fraud
4597,6,Not Fraud
4775,19,Fraud
1067,17,Not Fraud
4195,25,Fraud
3446,5,Not Fraud
3864,8,Fraud
5650,15,Not Fraud
5233,26,Fraud
4802,10,Not Fraud
4488,4,Fraud
536,23,Not Fraud
5149,15,Fraud
2635,24,Not Fraud
6929,28,Fraud
6869,1,Not Fraud
3336,20,Fraud
4881,20,Not Fraud
3275,15,Fraud
4156,1,Not Fraud
4660,30,Fraud
4188,3,Not Fraud
653,20,Fraud
2250,3,Not Fraud
2194,7,Fraud
480,15,Not Fraud
5035,14,Fraud
5613,24,Not Fraud
6589,25,Fraud
5394,2,Not Fraud
856,13,Fraud
6338,5,Not Fraud
1541,27,Fraud
5822,10,Not Fraud
2104,18,Fraud
2031,3,Not Fraud
867,25,Fraud
5050,22,Not Fraud
3662,22,Fraud
2940,1,Not Fraud
6911,3,Fraud
3742,30,Not Fraud
6602,11,Fraud
5691,14,Not Fraud
6559,10,Fraud
3133,23,Not Fraud
3481,1,Fraud
5152,15,Not Fraud
2654,13,Fraud
2928,29,Not Fraud
6662,8,Fraud
204,22,Not Fraud
5608,5,Fraud
3800,28,Not Fraud
4496,22,Fraud
4356,9,Not Fraud
2703,14,Fraud
3968,23,Not Fraud
753,18,Fraud
3441,30,Not Fraud
4096,6,Fraud
2112,9,Not Fraud
4176,23,Fraud
6885,5,Not Fraud
3928,19,Fraud
288,3,Not Fraud
6130,30,Fraud
2803,18,Not Fraud
6000,23,Fraud
590,25,Not Fraud
6981,25,Fraud
4806,28,Not Fraud
6384,23,Fraud
4467,3,Not Fraud
2421,12,Fraud
2907,11,Not Fraud
2944,4,Fraud
4078,14,Not Fraud
2742,9,Fraud
2489,10,Not Fraud
4716,7,Fraud
5244,7,Not Fraud
6231,5,Fraud
6170,19,Not Fraud
5982,3,Fraud
6766,17,Not Fraud
607,4,Fraud
400,30,Not Fraud
364,9,Fraud
1276,18,Not Fraud
5487,11,Fraud
5581,23,Not Fraud
1640,2,Fraud
3465,6,Not Fraud
5809,11,Fraud
1352,25,Not Fraud
4471,24,Fraud
1646,5,Not Fraud
4820,12,Fraud
2682,11,Not Fraud
1628,5,Fraud
3087,5,Not Fraud
3053,18,Fraud
2135,6,Not Fraud
5297,28,Fraud
2921,6,Not Fraud
5237,28,Fraud
4568,19,Not Fraud
6823,17,Fraud
4422,25,Not Fraud
1958,12,Fraud
4367,7,Not Fraud
1238,30,Fraud
2857,14,Not Fraud
1530,19,Fraud
561,12,Not Fraud
5919,13,Fraud
5614,20,Not Fraud
658,6,Fraud
5492,9,Not Fraud
6280,16,Fraud
2227,23,Not Fraud
2430,19,Fraud
3211,30,Not Fraud
4550,17,Fraud
2553,8,Not Fraud
1369,29,Fraud
3521,2,Not Fraud
5540,25,Fraud
235,5,Not Fraud
2815,26,Fraud
3381,17,Not Fraud
3359,23,Fraud
5801,5,Not Fraud
6166,4,Fraud
3106,4,Not Fraud
6222,15,Fraud
5831,19,Not Fraud
6259,18,Fraud
228,2,Not Fraud
4908,12,Fraud
6587,27,Not Fraud
647,10,Fraud
1385,16,Not Fraud
4743,19,Fraud
2379,13,Not Fraud
6792,1,Fraud
1292,1,Not Fraud
4996,18,Fraud
6173,5,Not Fraud
1105,18,Fraud
6142,5,Not Fraud
4949,9,Fraud
5039,8,Not Fraud
6181,22,Fraud
6941,18,Not Fraud
833,20,Fraud
5513,16,Not Fraud
1830,10,Fraud
553,19,Not Fraud
3812,3,Fraud
1006,20,Not Fraud
5501,13,Fraud
6044,20,Not Fraud
209,22,Fraud
2824,9,Not Fraud
4841,21,Fraud
4805,14,Not Fraud
4791,5,Fraud
6535,13,Not Fraud
5027,14,Fraud
4766,27,Not Fraud
6872,12,Fraud
3806,8,Not Fraud
6362,30,Fraud
6242,19,Not Fraud
3548,3,Fraud
4011,7,Not Fraud
974,3,Fraud
579,17,Not Fraud
4807,4,Fraud
3615,5,Not Fraud
3624,27,Fraud
3746,20,Not Fraud
6573,13,Fraud
2206,10,Not Fraud
4202,28,Fraud
5089,3,Not Fraud
3278,10,Fraud
3322,1,Not Fraud
5220,21,Fraud
1137,20,Not Fraud
6444,27,Fraud
6455,17,Not Fraud
5415,6,Fraud
4524,8,Not Fraud
2081,2,Fraud
4144,13,Not Fraud
6632,18,Fraud
524,19,Not Fraud
3451,3,Fraud
3528,7,Not Fraud
2979,7,Fraud
6953,20,Not Fraud
6257,4,Fraud
6077,5,Not Fraud
6990,5,Fraud
3428,12,Not Fraud
1682,30,Fraud
891,29,Not Fraud
5479,5,Fraud
4166,25,Not Fraud
836,10,Fraud
3516,22,Not Fraud
5431,22,Fraud
1663,21,Not Fraud
6928,1,Fraud
1609,1,Not Fraud
5362,13,Fraud
5921,3,Not Fraud
4751,1,Fraud
3587,11,Not Fraud
4507,8,Fraud
5429,25,Not Fraud
6234,10,Fraud
5796,1,Not Fraud
1739,3,Fraud
2444,29,Not Fraud
4282,10,Fraud
5954,3,Not Fraud
4575,18,Fraud
6039,15,Not Fraud
3498,1,Fraud
6231,22,Not Fraud
3265,1,Fraud
4388,21,Not Fraud
986,5,Fraud
5740,10,Not Fraud
365,26,Fraud
803,10,Not Fraud
6844,14,Fraud
5732,26,Not Fraud
2245,4,Fraud
4364,3,Not Fraud
6999,17,Fraud
1756,12,Not Fraud
489,16,Fraud
5543,13,Not Fraud
2021,30,Fraud
2129,6,Not Fraud
4663,7,Fraud
6658,5,Not Fraud
453,21,Fraud
3132,9,Not Fraud
479,3,Fraud
534,3,Not Fraud
1968,2,Fraud
1272,3,Not Fraud
2098,5,Fraud
776,26,Not Fraud
3336,25,Fraud
2374,3,Not Fraud
6129,6,Fraud
1742,16,Not Fraud
4566,11,Fraud
4773,23,Not Fraud
2252,29,Fraud
5345,3,Not Fraud
6418,9,Fraud
1676,28,Not Fraud
5125,14,Fraud
4922,8,Not Fraud
6522,20,Fraud
5737,15,Not Fraud
1106,2,Fraud
2621,11,Not Fraud
2755,8,Fraud
5552,23,Not Fraud
4031,17,Fraud
2776,21,Not Fraud
4617,17,Fraud
1287,1,Not Fraud
4008,30,Fraud
4962,14,Not Fraud
5574,24,Fraud
5332,4,Not Fraud
5254,26,Fraud
1317,11,Not Fraud
4064,26,Fraud
5387,14,Not Fraud
5856,14,Fraud
3494,7,Not Fraud
4501,23,Fraud
3608,4,Not Fraud
6011,22,Fraud
3795,17,Not Fraud
4440,2,Fraud
6942,10,Not Fraud
5954,8,Fraud
2478,23,Not Fraud
5159,17,Fraud
4501,16,Not Fraud
778,16,Fraud
6555,6,Not Fraud
1932,18,Fraud
6698,15,Not Fraud
4244,20,Fraud
753,22,Not Fraud
3419,14,Fraud
5911,21,Not Fraud
2584,21,Fraud
960,3,Not Fraud
3485,13,Fraud
6697,25,Not Fraud
1692,18,Fraud
5569,30,Not Fraud
4519,1,Fraud
1937,28,Not Fraud
4036,9,Fraud
4407,14,Not Fraud
3986,23,Fraud
4914,25,Not Fraud
3598,5,Fraud
4452,23,Not Fraud
6722,7,Fraud
2571,15,Not Fraud
694,21,Fraud
3072,30,Not Fraud
4435,8,Fraud
996,11,Not Fraud
714,6,Fraud
2492,8,Not Fraud
6888,18,Fraud
3733,6,Not Fraud
4285,7,Fraud
3783,24,Not Fraud
2515,19,Fraud
1995,12,Not Fraud
6065,7,Fraud
1307,22,Not Fraud
4335,24,Fraud
4690,13,Not Fraud
1013,12,Fraud
6767,9,Not Fraud
887,5,Fraud
5357,11,Not Fraud
3635,9,Fraud
6346,22,Not Fraud
5822,20,Fraud
3453,22,Not Fraud
4547,21,Fraud
4324,6,Not Fraud
1845,19,Fraud
963,15,Not Fraud
6280,27,Fraud
3403,29,Not Fraud
2809,18,Fraud
618,5,Not Fraud
6795,24,Fraud
497,24,Not Fraud
3657,8,Fraud
976,24,Not Fraud
1229,8,Fraud
6394,3,Not Fraud
511,21,Fraud
1963,24,Not Fraud
2275,28,Fraud
3093,15,Not Fraud
4704,19,Fraud
2582,8,Not Fraud
868,5,Fraud
2700,21,Not Fraud
3069,3,Fraud
6771,19,Not Fraud
6441,9,Fraud
4744,17,Not Fraud
3312,7,Fraud
2213,24,Not Fraud
6882,25,Fraud
4407,19,Not Fraud
6037,21,Fraud
668,22,Not Fraud
2144,17,Fraud
2958,12,Not Fraud
3446,7,Fraud
4686,2,Not Fraud
2105,16,Fraud
1772,1,Not Fraud
1143,12,Fraud
1417,15,Not Fraud
4320,11,Fraud
6863,9,Not Fraud
4538,5,Fraud
1969,3,Not Fraud
5642,25,Fraud
886,14,Not Fraud
1323,24,Fraud
3695,5,Not Fraud
5252,5,Fraud
3285,30,Not Fraud
1109,3,Fraud
2551,14,Not Fraud
6790,30,Fraud
3203,27,Not Fraud
4957,4,Fraud
3246,8,Not Fraud
2920,26,Fraud
1075,12,Not Fraud
3732,18,Fraud
2471,13,Not Fraud
6721,2,Fraud
537,26,Not Fraud
5633,9,Fraud
5774,8,Not Fraud
3265,19,Fraud
4915,27,Not Fraud
4924,14,Fraud
1754,29,Not Fraud
232,18,Fraud
3674,16,Not Fraud
1395,24,Fraud
3821,12,Not Fraud
2032,24,Fraud
2341,12,Not Fraud
3643,17,Fraud
3000,29,Not Fraud
5904,6,Fraud
1003,21,Not Fraud
3282,23,Fraud
5538,29,Not Fraud
4577,28,Fraud
5981,3,Not Fraud
3854,16,Fraud
5520,8,Not Fraud
6306,9,Fraud
1591,9,Not Fraud
1694,27,Fraud
5627,29,Not Fraud
6278,4,Fraud
6105,2,Not Fraud
2390,4,Fraud
5365,22,Not Fraud
4664,6,Fraud
3661,1,Not Fraud
5966,9,Fraud
2509,18,Not Fraud
6773,3,Fraud
6295,15,Not Fraud
1668,25,Fraud
5066,6,Not Fraud
952,7,Fraud
4839,18,Not Fraud
5224,26,Fraud
2315,8,Not Fraud
2370,7,Fraud
746,27,Not Fraud
5189,27,Fraud
1044,26,Not Fraud
239,9,Fraud
6465,11,Not Fraud
2880,22,Fraud
4681,22,Not Fraud
4785,2,Fraud
5609,22,Not Fraud
6729,19,Fraud
2559,23,Not Fraud
1083,5,Fraud
884,19,Not Fraud
4582,8,Fraud
1417,10,Not Fraud
3299,3,Fraud
4310,29,Not Fraud
1879,11,Fraud
6768,15,Not Fraud
5837,20,Fraud
451,11,Not Fraud
4309,10,Fraud
2558,19,Not Fraud
5821,26,Fraud
3015,21,Not Fraud
647,21,Fraud
2692,30,Not Fraud
1363,8,Fraud
2186,10,Not Fraud
660,24,Fraud
5157,22,Not Fraud
5789,28,Fraud
4543,27,Not Fraud
421,11,Fraud
322,22,Not Fraud
2854,10,Fraud
4657,9,Not Fraud
3307,3,Fraud
1948,26,Not Fraud
5858,21,Fraud
2964,30,Not Fraud
5136,15,Fraud
3136,10,Not Fraud
5033,10,Fraud
5368,23,Not Fraud
2744,15,Fraud
2315,12,Not Fraud
2277,25,Fraud
5498,29,Not Fraud
6708,29,Fraud
5994,16,Not Fraud
1166,8,Fraud
3936,15,Not Fraud
316,7,Fraud
3681,28,Not Fraud
3038,19,Fraud
4986,9,Not Fraud
3936,7,Fraud
1000,27,Not Fraud
6561,26,Fraud
4585,5,Not Fraud
6775,29,Fraud
4214,1,Not Fraud
2337,9,Fraud
4909,30,Not Fraud
214,20,Fraud
675,27,Not Fraud
2102,2,Fraud
2106,30,Not Fraud
1613,7,Fraud
870,29,Not Fraud
2348,15,Fraud
5414,8,Not Fraud
5867,26,Fraud
3254,30,Not Fraud
873,1,Fraud
509,16,Not Fraud
923,23,Fraud
4536,29,Not Fraud
6997,2,Fraud
4133,9,Not Fraud
5329,4,Fraud
2684,15,Not Fraud
1223,19,Fraud
1092,28,Not Fraud
1282,9,Fraud
700,5,Not Fraud
6305,7,Fraud
4550,14,Not Fraud
2159,1,Fraud
796,3,Not Fraud
4736,23,Fraud
6600,8,Not Fraud
3320,2,Fraud
3241,10,Not Fraud
5724,4,Fraud
803,14,Not Fraud
6367,1,Fraud
3713,3,Not Fraud
742,15,Fraud
6645,13,Not Fraud
780,13,Fraud
365,12,Not Fraud
1741,6,Fraud
1836,10,Not Fraud
6871,27,Fraud
3147,13,Not Fraud
2537,1,Fraud
1355,11,Not Fraud
1493,26,Fraud
6275,22,Not Fraud
2546,28,Fraud
6505,6,Not Fraud
2112,6,Fraud
699,6,Not Fraud
5436,8,Fraud
596,1,Not Fraud
3773,7,Fraud
4394,15,Not Fraud
1625,23,Fraud
337,8,Not Fraud
903,12,Fraud
5003,18,Not Fraud
517,10,Fraud
804,22,Not Fraud
5567,15,Fraud
5416,25,Not Fraud
3383,12,Fraud
6576,11,Not Fraud
3591,3,Fraud
6236,28,Not Fraud
4206,4,Fraud
4234,25,Not Fraud
4999,3,Fraud
4513,30,Not Fraud
2221,21,Fraud
3618,6,Not Fraud
2577,5,Fraud
2750,26,Not Fraud
6353,14,Fraud
3547,21,Not Fraud
5934,5,Fraud
4586,29,Not Fraud
5014,6,Fraud
4327,9,Not Fraud
6932,23,Fraud
6298,2,Not Fraud
3020,17,Fraud
6216,28,Not Fraud
4030,28,Fraud
4958,18,Not Fraud
1743,30,Fraud
967,1,Not Fraud
5393,29,Fraud
4857,29,Not Fraud
6417,25,Fraud
3487,15,Not Fraud
2471,7,Fraud
3751,3,Not Fraud
3935,14,Fraud
4909,27,Not Fraud
1095,17,Fraud
4220,12,Not Fraud
6628,12,Fraud
6983,4,Not Fraud
5832,27,Fraud
5121,21,Not Fraud
1893,26,Fraud
1054,29,Not Fraud
1584,22,Fraud
4929,26,Not Fraud
281,6,Fraud
3010,12,Not Fraud
6077,4,Fraud
4340,27,Not Fraud
1625,17,Fraud
2878,10,Not Fraud
